0	0	200
0	0.098	199.368
0	0.404	197.512
0	0.924	194.526
0	1.624	190.494
0	2.466	185.474
0	3.434	179.32
0	4.512	172.758
0	5.67	165.248
0	6.866	157.104
0	8.058	148.422
0	9.206	139.3
0	10.272	129.83
0	11.216	120.106
0	12.01	110.216
0	12.632	100.244
0	13.08	90.274
0	13.356	80.406
0	13.464	70.748
0	13.4	61.406
0	13.154	52.486
0	12.714	44.08
0	12.062	36.258
0	11.2	29.078
0	10.142	22.582
0	8.924	16.812
0	7.59	11.824
0	6.178	7.676
0	4.704	4.418
0	3.176	2.072
0	1.626	0.614
0	0.154	0.006
0	0	0
0	-1.072	0.384
0	-2.118	1.844
0	-3.07	4.308
0	-3.838	7.75
0	-4.4	12.184
0	-4.766	17.614
0	-4.984	24.002
0	-5.084	31.258
0	-5.072	39.294
0	-4.962	48.004
0	-4.746	57.288
0	-4.412	67.028
0	-3.934	77.134
0	-3.31	87.538
0	-2.568	98.166
0	-1.752	108.93
0	-0.922	119.726
0	-0.136	130.426
0	0.552	140.892
0	1.092	150.982
0	1.434	160.538
0	1.536	169.378
0	1.42	177.298
0	1.156	184.146
0	0.824	189.818
0	0.498	194.258
0	0.232	197.442
0	0.06	199.358
0	0	200
